hypothesis_norm	count	example_hypothesis	example_eval_config	example_perturbation	best_train_corpus	best_tfidf_similarity	best_similarity_class	best_train_text
the city is located in the southern part of the city of korea	790	the city is located in the southern part of the city of korea	base	full_noise_amp0.75_dur0.0	ru_64pct	0.6426051663988733	weak_overlap	It is located in the southern part of the county.
the city of london is located in the town of london	445	the city of london is located in the town of london	ru_64pct	full_noise_amp0.75_dur0.0	ru_64pct	0.5746153038049856	weak_overlap	Niantic is located in the town.
the following year he was promoted to the post of lieutenant colonel	346	the following year he was promoted to the post of lieutenant colonel	ru_64pct	full_noise_amp0.75_dur0.0	clean	0.6694600982163571	strong_overlap	The following year he was promoted to the rank of lieutenant.
the city is also home to the city of canada and canada canada is the second largest city in the world	87	the city is also home to the city of canada and canada canada is the second largest city in the world	base	full_noise_amp0.5_dur0.0	clean	0.4990196412847405	weak_overlap	Milagro is the second largest city in the province of Guayas.
the city is located in the central part of the city center of the city center	70	the city is located in the central part of the city center of the city center	base	full_noise_amp0.5_dur0.0	clean	0.43514727389238006	novel_or_generic	The school lies south of the city center.
the city is also home to the city of canada	65	the city is also home to the city of canada	base	full_noise_amp0.5_dur0.0	ru_64pct	0.698729974174843	strong_overlap	The city is also home to Wayland Academy, a private school.
the following year he was promoted to lieutenant colonel	60	the following year he was promoted to lieutenant colonel	ru_64pct	full_noise_amp0.5_dur0.0	ru_64pct	0.6741483198525946	strong_overlap	The following year he was promoted to the rank of lieutenant.
the city is also home to the city s most important city the city is also home to the city s most important city	37	the city is also home to the city s most important city the city is also home to the city s most important city	base	full_noise_amp0.75_dur0.0	ru_64pct	0.716282495566063	strong_overlap	The city is also home to Wayland Academy, a private school.
the city is located in the central part of the city center	33	the city is located in the central part of the city center	base	full_noise_amp0.5_dur0.0	ru_64pct	0.4795998415641072	weak_overlap	It is in the central part of Bowie County.
the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of	23	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of	rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.5226815531511309	weak_overlap	The main bank is on the north-east side of the ditch.
the city is located in the northern part of the city of korea	20	the city is located in the northern part of the city of korea	base	full_noise_amp0.5_dur0.0	clean	0.5255159642223554	weak_overlap	East Bethel is located in the northern part of Anoka County.
the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side	20	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side	rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.5246984639571041	weak_overlap	The main bank is on the north-east side of the ditch.
the city is located in the central part of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of	16	the city is located in the central part of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of the city center of	base	full_noise_amp0.5_dur0.0	clean	0.5066272136941654	weak_overlap	The school lies south of the city center.
it is a member theatre of the union of the theatres of europe	15	it is a member theatre of the union of the theatres of europe	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.3573296995481817	novel_or_generic	It is a member of the Titerno Local Action Group.
the greeks refused	15	the greeks refused	base	onset_noise_amp0.05_dur0.5	clean	0.4369262438002812	novel_or_generic	The Greeks constructed sophisticated water and hydraulic power systems.
close all windows and log out	15	close all windows and log out	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.33980810170691034	novel_or_generic	Devices can automatically connect and log into public Xfinity WiFi hotspots.
further there is no mention of the comet in chinese literature of the time	15	further there is no mention of the comet in chinese literature of the time	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.5688015509123391	weak_overlap	There is no mention of who should perform this function.
a friend to everybody is a friend to nobody	15	a friend to everybody is a friend to nobody	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.5875074798371532	weak_overlap	Friend or Foe?
the city is also home to the city of canada and canada canada is the only city in canada that has a city hall	13	the city is also home to the city of canada and canada canada is the only city in canada that has a city hall	base	full_noise_amp0.5_dur0.0	ru_64pct	0.4873290486270425	weak_overlap	The city is also home to Wayland Academy, a private school.
it is inhibited by the pneumotoxic center	13	it is inhibited by the pneumotoxic center	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.411068669606959	novel_or_generic	It is abutted by the Tatoosh Wilderness.
japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	13	japanese chemical weapons were later found mixed with soviet and chinese chemical weapons	base	onset_noise_amp0.05_dur0.5	clean	0.3153355166090557	novel_or_generic	The United States has possessed a stockpile of chemical weapons since World War One.
the plan goes awry when the bees see through the plan	13	the plan goes awry when the bees see through the plan	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.43675035267091855	novel_or_generic	The plan, entitled Lansdowne Live!
the following year he was elected as the president of the united states	13	the following year he was elected as the president of the united states	ru_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.4609223725902142	weak_overlap	The following year he emigrated to the United States.
the state plans to rework those groups to improve safety	12	the state plans to rework those groups to improve safety	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.3272651387556138	novel_or_generic	The state was named Seorabeol.
near the beach house is a large modern playground	12	near the beach house is a large modern playground	base	onset_noise_amp0.05_dur0.5	clean	0.2834670368043084	novel_or_generic	There are toilet facilities near the beach and lifeguard cover in the summer.
a hyperreflexive operator algebra is automatically reflexive	12	a hyperreflexive operator algebra is automatically reflexive	base	onset_noise_amp0.05_dur0.5	clean	0.24190321492136135	novel_or_generic	The hammer is automatically cocked, and pulling the trigger simply releases the it.
morse has two children	12	morse has two children	base	onset_noise_amp0.05_dur0.5	clean	0.8376345419180783	strong_overlap	Geis has two children.
it has inherent support for runtime cast validation	12	it has inherent support for runtime cast validation	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2982269663636329	novel_or_generic	Database support for blobs is not universal.
tambaga entered dutch usage concurrent with the colonization of indonesia	12	tambaga entered dutch usage concurrent with the colonization of indonesia	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.348125260308888	novel_or_generic	"Concurrent with ""The Second Coming"" was Glen A. Larson's movie proposal."
a basketball was too heavy while the basketball bladder was too light	11	a basketball was too heavy while the basketball bladder was too light	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.31747991900204253	novel_or_generic	He was too clever and cruel.
charlie was now alone	10	charlie was now alone	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.38414039238089126	novel_or_generic	Paul was now pale with weariness.
goodbye said the boy	10	goodbye said the boy	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3637220974815858	novel_or_generic	The boy grew and prospered.
it does not look good	10	it does not look good	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.6390958873951545	weak_overlap	It does not migrate.
rich productions include to kill a monkey bird and big among others	10	rich productions include to kill a monkey bird and big among others	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.32186077228233057	novel_or_generic	Ongoing productions include Check, Please!
his other film roles include whodunit	10	his other film roles include whodunit	rr_64pct	none	ru_64pct	0.4664628062189401	weak_overlap	"Other roles include the series ""Hooperman"" and ""Cop Rock""."
it might be in this writers top ten	9	it might be in this writers top ten	base	onset_noise_amp0.05_dur0.5	clean	0.4336220563117732	novel_or_generic	It might be considered as a side swage.
alexandria and texas were shut down midseason	9	alexandria and texas were shut down midseason	base	onset_noise_amp0.05_dur0.5	clean	0.3940568902759344	novel_or_generic	It shut down the following year.
luckily the dagger couldn t penetrate the bulletproof vest	9	luckily the dagger couldn t penetrate the bulletproof vest	base	onset_noise_amp0.05_dur0.5	clean	0.39208511132743595	novel_or_generic	Steroids penetrate the barrier.
the application was rejected	9	the application was rejected	base	onset_noise_amp0.05_dur0.5	clean	0.50111080461405	weak_overlap	Her application was successful.
four four four	9	four four four	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4124448062291284	novel_or_generic	Luke's Sermon contains four Beatitudes and four Woes.
it was a problem while i was sitting over there	9	it was a problem while i was sitting over there	base	onset_noise_amp0.05_dur0.5	clean	0.3907540366013582	novel_or_generic	I was sitting there one night.
at least six dewinton locomotives have been preserved	9	at least six dewinton locomotives have been preserved	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.7389956764859485	strong_overlap	Six have been preserved.
seoul has two main airports the indian international airport as well as the gimpo international airport	9	seoul has two main airports the indian international airport as well as the gimpo international airport	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.46905713100130486	weak_overlap	The nearest airports are Mangalore International Airport and Kannur International Airport.
hope for the best and prepare for the worst	9	hope for the best and prepare for the worst	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.39535626471162133	novel_or_generic	I can only hope for the same.
i wondered if those birds were red wings	9	i wondered if those birds were red wings	rr_64pct	none	ru_64pct	0.33381933593836555	novel_or_generic	I wondered if Scudder had turned in already.
the following year he was promoted to the general manager	9	the following year he was promoted to the general manager	ru_64pct	full_noise_amp0.5_dur0.0	ru_64pct	0.6528948679237441	strong_overlap	The following year he was promoted to the rank of lieutenant.
the city is also home to the city of london	8	the city is also home to the city of london	base	full_noise_amp0.5_dur0.0	ru_64pct	0.6757793511253888	strong_overlap	The city is also home to Wayland Academy, a private school.
how is mozilla going to handle ambiguities like q and q	8	how is mozilla going to handle ambiguities like q and q	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3724523961013939	novel_or_generic	How is the sabbath to be sanctified?
he took the first cup and handed it to the monk	8	he took the first cup and handed it to the monk	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.32031564168344273	novel_or_generic	"Later he took the precautionary step of changing his cover name to ""Fred""."
the major industry has been slate mining	8	the major industry has been slate mining	base	onset_noise_amp0.05_dur0.5	clean	0.4371794394930316	novel_or_generic	Tourism is a major industry.
and it is a six minute video	8	and it is a six minute video	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.36343830235131425	novel_or_generic	Its lumber is a softwood, and it is harvested as a hem fir.
wow what is it	8	wow what is it	base	onset_noise_amp0.05_dur0.5	clean	1.0	exact_or_template_copy	What is it, deary?
furthermore the equations of motion impose that the roman s mass is constant	8	furthermore the equations of motion impose that the roman s mass is constant	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.34954666513245547	novel_or_generic	Action is a part of an alternative approach to finding such equations of motion.
some social scientists and evaluators view the condition as pseudophobia	8	some social scientists and evaluators view the condition as pseudophobia	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.3501488014798735	novel_or_generic	The condition eventually cleared up.
the movie was little seen outside of sweden	8	the movie was little seen outside of sweden	base	onset_noise_amp0.05_dur0.5	clean	0.47429244934243253	weak_overlap	The movie was not a big hit.
the first time i saw him i was like what the hell is he doing	7	the first time i saw him i was like what the hell is he doing	base	full_noise_amp0.5_dur0.0	rr_64pct	0.32670576310870647	novel_or_generic	It's the first time.
the song was produced by gogriz and smash david	7	the song was produced by gogriz and smash david	base	onset_noise_amp0.05_dur0.5	clean	0.6089560005465694	weak_overlap	The song was produced by Snuff Garrett.
maybe he just put it there for safekeeping	7	maybe he just put it there for safekeeping	base	onset_noise_amp0.05_dur0.5	clean	0.3731194242526623	novel_or_generic	He just lives for it.
a song about a mate	7	a song about a mate	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.44928807960885375	novel_or_generic	And yet another song about drinking.
what kind of proof is that	7	what kind of proof is that	base	onset_noise_amp0.05_dur0.5	clean	0.6624564441113976	strong_overlap	What kind of herb this is?
let s go to arba	7	let s go to arba	base	onset_noise_amp0.05_dur0.5	clean	0.9138527373230259	near_copy	Let's go to something!
bittes made only two english language films	7	bittes made only two english language films	base	onset_noise_amp0.05_dur0.5	clean	0.39657490343937674	novel_or_generic	The Academy Awards have also nominated a number of non-English-language films.
the oldest stupas string theory contained open strings was taught one string theory	7	the oldest stupas string theory contained open strings was taught one string theory	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.28811438445712945	novel_or_generic	She was taught ventriloquism by John W. Cooper.
operation of the trunkline continued on the wooden trestles	7	operation of the trunkline continued on the wooden trestles	base	onset_noise_amp0.05_dur0.5	clean	0.4050179908864787	novel_or_generic	Operation of the cut falls upon three government agencies.
men play football as the crowd watches	7	men play football as the crowd watches	base	onset_noise_amp0.5_dur0.5	ru_64pct	0.44418890228511865	novel_or_generic	A crowd watches as a woman draws caricatures.
let me have the desk	7	let me have the desk	base	onset_noise_amp0.5_dur0.5	clean	0.493374530266079	weak_overlap	Please let me come in.
this is something i want encouraged	7	this is something i want encouraged	base	onset_noise_amp0.5_dur0.5	clean	0.5421989590648796	weak_overlap	This is something we've never had before.
the show then migrated to the ground in theater in los angeles	7	the show then migrated to the ground in theater in los angeles	base	onset_noise_amp0.75_dur0.5	clean	0.35662365823057196	novel_or_generic	Stewart lives in Los Angeles.
she married her business partner steven lee	7	she married her business partner steven lee	base	reverb_amp0.5_dur0.5	rr_64pct	0.3942035738079981	novel_or_generic	And you married her.
administratively they belong to sara	7	administratively they belong to sara	rr_64pct	none	clean	0.5377321188660237	weak_overlap	A few belong to Sikh community.
the city is located in the central part of the city center and is located in the central part of the city center	6	the city is located in the central part of the city center and is located in the central part of the city center	base	full_noise_amp0.5_dur0.0	ru_64pct	0.5019871376276974	weak_overlap	It is in the central part of Bowie County.
fatima the girl sat averting her eyes	6	fatima the girl sat averting her eyes	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.398147657587419	novel_or_generic	Two wrathful tears started from her eyes.
the tower block pictured is the south face of kestrel house on city road london	6	the tower block pictured is the south face of kestrel house on city road london	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2830863960474448	novel_or_generic	The tower stands tall.
but after new style injured his pitching arm his career was in serious jeopardy	6	but after new style injured his pitching arm his career was in serious jeopardy	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4105549712293528	novel_or_generic	His career was slow but steady.
however there are some issues that came up full color to celebrate certain anniversaries	6	however there are some issues that came up full color to celebrate certain anniversaries	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.28684987350905944	novel_or_generic	However, there are several issues and no consensus.
i have stuck it back together	6	i have stuck it back together	base	onset_noise_amp0.05_dur0.5	clean	0.44674872080696426	novel_or_generic	They get back together.
well what was that	6	well what was that	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.5727479272179187	weak_overlap	What was that? she asked, timidly.
it was my fear of failure that first kept me from attempting the masterwork	6	it was my fear of failure that first kept me from attempting the masterwork	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.2997016864478934	novel_or_generic	That was my first movie.
tiger williams wrote the screenplay and shared story credits with the brothers	6	tiger williams wrote the screenplay and shared story credits with the brothers	base	onset_noise_amp0.05_dur0.5	clean	0.2814588056847174	novel_or_generic	Cassius Clay and co-wrote the screenplay for Journey Back to Oz.
it is the one i want to see	6	it is the one i want to see	base	onset_noise_amp0.5_dur0.5	clean	0.6412543988661839	weak_overlap	I want to see Michel Strogoff
war war war	6	war war war	base	reverb_amp0.5_dur0.5	ru_64pct	0.4537832506876044	weak_overlap	But war intervened.
it was a problem while i was sitting all day	6	it was a problem while i was sitting all day	base	reverb_amp0.5_dur0.5	clean	0.31822537619449565	novel_or_generic	I was sitting there one night.
kat sand and her son were accused of voter intimidation	6	kat sand and her son were accused of voter intimidation	rr_64pct	none	clean	0.3250377108333602	novel_or_generic	The men sacrificed were accused of eating tabu coconuts.
there are two types of coil levers full coil levers and slip on coil levers	6	there are two types of coil levers full coil levers and slip on coil levers	rr_64pct	none	clean	0.6197954632128303	weak_overlap	There are two types, bashrings and bashplates.
the city is located in the northern part of the city of kerala	6	the city is located in the northern part of the city of kerala	ru_64pct	full_noise_amp0.5_dur0.0	clean	0.5203293084875338	weak_overlap	East Bethel is located in the northern part of Anoka County.
the first two years of the war were the most difficult	6	the first two years of the war were the most difficult	ru_64pct	full_noise_amp0.5_dur0.0	clean	0.3929681111635054	novel_or_generic	The tunnels were the most difficult and time-consuming part of construction.
the city is located in the central part of the city of korea	5	the city is located in the central part of the city of korea	base	full_noise_amp0.5_dur0.0	ru_64pct	0.47803528072854384	weak_overlap	It is in the central part of Bowie County.
she married her business partner stephen lee	5	she married her business partner stephen lee	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.39963501914244315	novel_or_generic	And you married her.
benim yan mda kapal oturman za gerek yok ba n z a abilirsiniz	5	benim yanımda kapalı oturmanıza gerek yok başınızı açabilirsiniz	base	onset_noise_amp0.05_dur0.5	clean	0.4191135289378143	novel_or_generic	He married He Liliang in Yan'an.
his other film roles include whodunnit	5	his other film roles include whodunnit	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.4664628062189401	weak_overlap	"Other roles include the series ""Hooperman"" and ""Cop Rock""."
also in allen park is the relocated tom hollins house	5	also in allen park is the relocated tom hollins house	base	onset_noise_amp0.05_dur0.5	clean	0.3879993215311299	novel_or_generic	Park is trilingual.
de castillo is a village in navarra	5	de castillo is a village in navarra	base	onset_noise_amp0.05_dur0.5	clean	0.5473141795712668	weak_overlap	Salvador Do Mundo is a village in Goa.
mozdrukeen was officially married three times	5	mozdrukeen was officially married three times	base	onset_noise_amp0.05_dur0.5	clean	0.7722045304715561	strong_overlap	Young married three times.
macken argue against animal rights in his widely reprinted paper do animals have rights	5	macken argue against animal rights in his widely reprinted paper do animals have rights	base	onset_noise_amp0.05_dur0.5	clean	0.25553288933196416	novel_or_generic	Favoured lyrical concerns included animal rights, conformity and science fiction.
president nicholas maduro condemned the protest actions	5	president nicholas maduro condemned the protest actions	base	onset_noise_amp0.05_dur0.5	rr_64pct	0.30998517683706117	novel_or_generic	No major opposition to the protest occurred.
the town s oldest secular building the old crown is there	5	the town s oldest secular building the old crown is there	base	onset_noise_amp0.05_dur0.5	ru_64pct	0.23069729509259584	novel_or_generic	Taza National Park is there.
might others within your organization have some inklings as to their desire	5	might others within your organization have some inklings as to their desire	base	onset_noise_amp0.05_dur0.5	clean	0.796530021674927	strong_overlap	Might others within your organisation have some inkling as to their desires?
it gives strawberries so you would not like it	5	it gives strawberries so you would not like it	base	onset_noise_amp0.5_dur0.5	clean	0.2954377419962193	novel_or_generic	Like, 'It's over!
they could no longer support the mirror	5	they could no longer support the mirror	base	onset_noise_amp0.5_dur0.5	ru_64pct	0.5123375438746025	weak_overlap	They paused no longer.
she looks at us she is going to come too	5	she looks at us she is going to come too	base	onset_noise_amp0.75_dur0.5	ru_64pct	0.47419050827426124	weak_overlap	He is going to open it.
are the consequences more humanistic or anti humanistic	5	are the consequences more humanistic or anti humanistic	base	reverb_amp0.5_dur0.5	ru_64pct	0.3236746747602697	novel_or_generic	Adoption as a theological term introduces a relational dimension to the consequences of Salvation.
the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the	5	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the	rr_64pct	full_noise_amp0.5_dur0.0	rr_64pct	0.5209595801317896	weak_overlap	The main bank is on the north-east side of the ditch.
i guess it s a neverending story	5	i guess it s a neverending story	rr_64pct	none	ru_64pct	0.6242572209980571	weak_overlap	It's cool-I guess.
municin means near the island	5	municin means near the island	rr_64pct	none	ru_64pct	0.4493525406663821	novel_or_generic	"The autonym means ""villager""."
